No,Comb,DistanceNu,DistanceFu,tSNR,rSINRFu,rSINRNu,cGainFu,cGainNu,SumRate,OutageFu,OutageNu,BERFu,BerNu
162,b3b4,7.071,15.811,-99,0.000511505,0.012704741,1.59771E-05,0.000395508,0.009357559,1,1,0.4885,0.442
163,b3c1,7.071,15.811,-99,0.000498511,0.012652056,1.60552E-05,0.0004059,0.009495135,1,1,0.4993,0.4462
164,b3c4,7.071,15.811,-99,0.000504436,0.012545952,1.60065E-05,0.000405204,0.009426116,1,1,0.4901,0.4392
165,b3d1,7.071,21.2132,-99,0.000155563,0.012777724,4.9691E-06,0.000396236,0.009244385,1,1,0.4951,0.4336
166,b3d2,7.071,15.811,-99,0.000512435,0.012572215,0.000016043,0.000394561,0.009316278,1,1,0.4938,0.4509
167,b3d3,7.071,15.811,-99,0.000508514,0.012710646,1.60417E-05,0.00039778,0.009422472,1,1,0.4918,0.4446
168,b3d4,7.071,21.2132,-99,0.000157641,0.012505478,4.9124E-06,0.0004015,0.009221988,1,1,0.4902,0.4406
169,c2a1,7.071,21.2132,-99,0.000154301,0.012615711,4.8888E-06,0.000403052,0.008969481,1,1,0.4964,0.4334
170,c2a2,7.071,15.811,-99,0.000502278,0.012498494,1.58107E-05,0.000403975,0.009295608,1,1,0.4836,0.4456
171,c2a3,7.071,15.811,-99,0.000508264,0.012647076,1.58743E-05,0.00039551,0.009343878,1,1,0.4919,0.4407
172,c2a4,7.071,21.2132,-99,0.000156324,0.012799263,4.9496E-06,0.000403517,0.009115964,1,1,0.4903,0.4396
173,c2b1,7.071,15.811,-99,0.000512163,0.012424741,1.59749E-05,0.000396647,0.009306023,1,1,0.4887,0.449
174,c2b4,7.071,15.811,-99,0.000511505,0.012704741,1.59771E-05,0.000395508,0.009357559,1,1,0.4885,0.442
175,c2c1,7.071,15.811,-99,0.000498511,0.012652056,1.60552E-05,0.0004059,0.009495135,1,1,0.4993,0.4462
176,c2c4,7.071,15.811,-99,0.000504436,0.012545952,1.60065E-05,0.000405204,0.009426116,1,1,0.4901,0.4392
177,c2d1,7.071,21.2132,-99,0.000155563,0.012777724,4.9691E-06,0.000396236,0.009244385,1,1,0.4951,0.4336
178,c2d2,7.071,15.811,-99,0.000512435,0.012572215,0.000016043,0.000394561,0.009316278,1,1,0.4938,0.4509
179,c2d3,7.071,15.811,-99,0.000508514,0.012710646,1.60417E-05,0.00039778,0.009422472,1,1,0.4918,0.4446
180,c2d4,7.071,21.2132,-99,0.000157641,0.012505478,4.9124E-06,0.0004015,0.009221988,1,1,0.4902,0.4406
181,c3a1,7.071,21.2132,-99,0.000154301,0.012615711,4.8888E-06,0.000403052,0.008969481,1,1,0.4964,0.4334
182,c3a2,7.071,15.811,-99,0.000502278,0.012498494,1.58107E-05,0.000403975,0.009295608,1,1,0.4836,0.4456
183,c3a3,7.071,15.811,-99,0.000508264,0.012647076,1.58743E-05,0.00039551,0.009343878,1,1,0.4919,0.4407
184,c3a4,7.071,21.2132,-99,0.000156324,0.012799263,4.9496E-06,0.000403517,0.009115964,1,1,0.4903,0.4396
185,c3b1,7.071,15.811,-99,0.000512163,0.012424741,1.59749E-05,0.000396647,0.009306023,1,1,0.4887,0.449
186,c3b4,7.071,15.811,-99,0.000511505,0.012704741,1.59771E-05,0.000395508,0.009357559,1,1,0.4885,0.442
187,c3c1,7.071,15.811,-99,0.000498511,0.012652056,1.60552E-05,0.0004059,0.009495135,1,1,0.4993,0.4462
188,c3c4,7.071,15.811,-99,0.000504436,0.012545952,1.60065E-05,0.000405204,0.009426116,1,1,0.4901,0.4392
189,c3d1,7.071,21.2132,-99,0.000155563,0.012777724,4.9691E-06,0.000396236,0.009244385,1,1,0.4951,0.4336
190,c3d2,7.071,15.811,-99,0.000512435,0.012572215,0.000016043,0.000394561,0.009316278,1,1,0.4938,0.4509
191,c3d3,7.071,15.811,-99,0.000508514,0.012710646,1.60417E-05,0.00039778,0.009422472,1,1,0.4918,0.4446
192,c3d4,7.071,21.2132,-99,0.000157641,0.012505478,4.9124E-06,0.0004015,0.009221988,1,1,0.4902,0.4406
193,b2a1,7.071,21.2132,-94,0.000487942,0.039894382,4.8888E-06,0.000403052,0.02766914,1,1,0.4918,0.3936
194,b2a2,7.071,15.811,-94,0.001588343,0.039523708,1.58107E-05,0.000403975,0.028685407,1,1,0.4741,0.3989
195,b2a3,7.071,15.811,-94,0.001607273,0.039993566,1.58743E-05,0.00039551,0.028840486,1,1,0.4833,0.401
196,b2a4,7.071,21.2132,-94,0.000494341,0.040474824,4.9496E-06,0.000403517,0.02811965,1,1,0.4848,0.399
197,b2b1,7.071,15.811,-94,0.0016196,0.039290479,1.59749E-05,0.000396647,0.028729875,1,1,0.4811,0.4079
198,b2b4,7.071,15.811,-94,0.00161752,0.04017592,1.59771E-05,0.000395508,0.028875262,1,1,0.4778,0.3987
199,b2c1,7.071,15.811,-94,0.00157643,0.040009313,1.60552E-05,0.0004059,0.029288376,1,1,0.4913,0.4025
200,b2c4,7.071,15.811,-94,0.001595166,0.039673782,1.60065E-05,0.000405204,0.029071204,1,1,0.4817,0.3956
201,b2d1,7.071,21.2132,-94,0.000491935,0.040406711,4.9691E-06,0.000396236,0.028491909,1,1,0.4907,0.3897
